name,price,unit,category,subcategory,category_url,image_url
Maggi 2 Minutes Instant Noodles Made With Quality Spices - Pack of 2,161,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi 2 Minutes Instant Noodles Made With Quality Spices,83,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi 2 - Minute Instant Noodles Made With Quality Spices,162,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi Nutrilicious Veg Atta Noodles Made with Only Atta Flour,97,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi Nutrilicious Veg Atta Instant Noodles,30,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi Masala Cuppa Noodles,55,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Nongshim Shin Ramyun Spicy Flavoured Instant Noodles,99,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Wai Wai Ready To Eat Veg Masala Noodles,86,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Nissin Geki Carbonara Veg Korean Ramen Noodles,53,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi Spicy Cheesy Instant Noodles,85,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Tops Plain Hakka Noodles,65,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
"Ching's Secret Hakka Noodles with Masala (Not Fried, Air Dried)",35,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Nissin Geki Spicy Veg Korean Ramen Noodles,55,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Nissin Geki Korean Ramen Spicy Veg Flavoured Instant Noodles - Pack of 3,159,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Moi Soi Veg Hakka Noodles - Not Fried,98,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Wai Wai Ready To Eat Chicken Noodles,86,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi 2-Minute Special Masala Instant Noodles - Pack of 4,198,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi 2-Minute Special Masala Instant Noodles,100,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Nongshim Shin Red Super Spicy Noodles,118,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Ching's Secret Chowmein Noodles (with Free Masala Pouch),30,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Nissin Geki Korean Ramen Spicy Cheese Flavoured Instant Noodles - Pack of 3,159,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Nissin Geki Spicy Cheese Korean Ramen Noodles,55,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Yu Creamy Hot Sauce Korean Ramen Instant Noodles - Pack of 3,168,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Yu Creamy Hot Sauce Korean Ramen Instant Noodles,60,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Yu Creamy Hot Sauce Korean Ramen Instant Noodles - Pack of 2,117,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Top Ramen Curry Veg Noodles - Pack of 2,182,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Top Ramen Curry Veg Noodles,93,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Otoki Jin Ramen Spicy Noodles,132,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Nissin Geki Korean Ramen Spicy Kimchi Flavoured Instant Noodles - Pack of 3,159,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Nissin Geki Spicy Kimchi Korean Ramen Noodles,234,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Samyang Buldak Carbonara Hot Chicken Flavoured Instant Noodles / Ramen,750,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Yippee Magic Masala Instant Noodles,156,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Yippee Magic Masala Instant Noodles - Pack of 12,309,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi Chilly Chow Cuppa Noodles,55,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Maggi Spicy Garlic Instant Noodles,85,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Yu Korean Ramen Noodles - Cheesy Veg Carbonara - Pack of 3,168,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Yu Korean Ramen Noodles - Cheesy Veg Carbonara,60,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Yu Korean Ramen Noodles - Cheesy Veg Carbonara - Pack of 2,117,,Noodles Pasta Instant,Pasta Noodles,https://blinkit.com/cn/noodles-pasta-instant/pasta-noodles/cid/15/962,
Banana,48,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Baby Banana,42,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Jamun,169,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Avocado Hass - Tanzania,75,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Papaya (Papita),119,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Green Kiwi,116,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Brown Coconut Chunks,51,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Avocado Hass (Tanzania),135,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Brown Coconut,51,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Peeled Pomegranate - Snack Pack,76,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Pomegranate - 2 pieces (350-450 g),88,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Thai Pink Guava (Amrud),118,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Mini Orange (Imported),85,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Dragon Fruit - Red Flesh,89,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Dinga Mango,111,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Daily Apple,150,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Thai Guava (Amrud),124,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Indian Plum,68,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Raw Mango (Kacha Aam),58,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
Royal Gala Apple (Italy / Poland) (Seb),149,,Vegetables Fruits,Fruits,https://blinkit.com/cn/vegetables-fruits/fruits/cid/1487/1503,
